date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1,spread_prob
11/6/1921,1921,0,0,ARI,HAM,1486.511,1421.675,0.6786110569,7,0,1,
11/6/1921,1921,0,0,GB,ECG,1400.301,1354.267,0.6545642499,43,6,1,
11/13/1921,1921,0,0,GB,HAM,1424.224,1409.054,0.6133689181,14,7,1,
11/13/1921,1921,0,0,BFF,AKR,1615.786,1693.899,0.4811378314,0,0,0.5,
11/13/1921,1921,0,0,CTI,CBD,1494.613,1527.878,0.5455437476,0,7,0,
11/13/1921,1921,0,0,CHI,RII,1583.267,1565.704,0.6166305306,3,0,1,
11/13/1921,1921,0,0,DAY,DTI,1492.164,1294.146,0.8196611312,27,0,1,
11/20/1921,1921,0,0,ARI,GB,1499.133,1439.739,0.6717408912,3,3,0.5,
11/20/1921,1921,0,0,CHI,CTI,1593.512,1471.592,0.7457358978,22,7,1,
11/20/1921,1921,0,0,BFF,CBD,1616.361,1550.898,0.6793977308,7,7,0.5,
11/20/1921,1921,0,0,DAY,AKR,1502.9,1693.323,0.3269543003,3,0,1,
11/20/1921,1921,0,0,RCH,COL,1468.554,1339.675,0.7532566424,27,13,1,
11/24/1921,1921,0,0,AKR,CBD,1673.534,1556.37,0.7405098665,0,14,0,
11/24/1921,1921,0,0,CHI,BFF,1606.507,1610.89,0.5863603872,6,7,0,
11/27/1921,1921,0,0,ECG,CCL,1330.343,1482.179,0.3775716433,48,0,1,
11/27/1921,1921,0,0,SEN,CBD,1300,1600.097,0.2053269608,0,15,0,
11/27/1921,1921,0,0,CHI,GB,1598.148,1444.976,0.7783193335,20,0,1,
11/27/1921,1921,0,0,BFF,DAY,1619.249,1522.689,0.7170781499,7,0,1,
12/3/1921,1921,0,0,BFF,AKR,1630.21,1629.807,0.5930262391,14,0,1,
12/3/1921,1921,0,0,NG1,CTI,1291.514,1458.597,0.3571772231,0,17,0,
12/4/1921,1921,0,0,LOU,COL,1377.857,1327.393,0.6603073596,0,6,0,
12/4/1921,1921,0,0,CHI,BFF,1610.429,1651.616,0.5342161002,10,7,1,
12/4/1921,1921,0,0,ARI,AKR,1493.895,1608.401,0.4292334241,0,7,0,
12/11/1921,1921,0,0,SEN,CTI,1289.713,1478.329,0.3292474054,7,0,1,
12/11/1921,1921,0,0,CHI,CBD,1623.205,1610.384,0.6101573518,10,0,1,
12/18/1921,1921,0,0,CHI,ARI,1641.262,1476.436,0.7896778715,0,0,0.5,
12/18/1921,1921,0,0,SEN,CBD,1319.27,1592.326,0.2318905736,14,28,0,
10/1/1922,1922,0,0,AKR,COL,1585.573,1404.677,0.8046305993,36,0,1,
10/1/1922,1922,0,0,RAC,CHI,1493.002,1589.952,0.454149427,0,6,0,
10/1/1922,1922,0,0,TOL,ECG,1504.938,1422.188,0.7006756611,15,0,1,
10/1/1922,1922,0,0,RII,GB,1538.64,1456.797,0.6995794951,19,14,1,
10/1/1922,1922,0,0,CBD,LOU,1570.867,1402.157,0.7933672072,38,0,1,
10/1/1922,1922,0,0,ARI,MIL,1491.847,1300,0.8143504709,3,0,1,
10/1/1922,1922,0,0,DAY,OOR,1509.485,1300,0.8292133938,36,0,1,
10/1/1922,1922,0,0,BFF,HAM,1594.227,1430.693,0.7884399651,7,0,1,
10/8/1922,1922,0,0,TOL,MIL,1520.492,1295.391,0.8415699007,12,12,0.5,
10/8/1922,1922,0,0,OOR,COL,1289.034,1391.986,0.4455988848,20,6,1,
10/8/1922,1922,0,0,RII,CHI,1548.732,1607.373,0.5091503149,6,10,0,
10/8/1922,1922,0,0,GB,RAC,1446.705,1475.58,0.5518015125,6,10,0,
10/8/1922,1922,0,0,DAY,CBD,1520.451,1584.553,0.501292323,0,0,0.5,
10/12/1922,1922,0,0,AKR,RCH,1598.264,1488.89,0.7318006184,13,13,0.5,
10/15/1922,1922,0,0,ARI,GB,1496.457,1428.647,0.6823333623,16,3,1,
10/15/1922,1922,0,0,DAY,MNN,1520.411,1484.992,0.6406204831,17,0,1,
10/15/1922,1922,0,0,CBD,OOR,1584.593,1319.588,0.8698532075,14,0,1,
10/15/1922,1922,0,0,MIL,RAC,1305.808,1493.638,0.3302474005,20,0,1,
10/15/1922,1922,0,0,CHI,RCH,1623.81,1495.96,0.7521540621,7,0,1,
10/15/1922,1922,0,0,BFF,COL,1602.197,1361.432,0.8532252933,19,0,1,
10/15/1922,1922,0,0,RII,ECG,1532.295,1406.634,0.7497975677,60,0,1,
10/15/1922,1922,0,0,TOL,HAM,1510.074,1422.723,0.706200754,14,0,1,
10/22/1922,1922,0,0,MIL,GB,1349.001,1412.835,0.5016780026,0,0,0.5,
10/22/1922,1922,0,0,DAY,HAM,1540.279,1407.841,0.7570446382,20,0,1,
10/22/1922,1922,0,0,ARI,MNN,1512.269,1465.124,0.6560088869,3,0,1,
10/22/1922,1922,0,0,RAC,TOL,1450.445,1524.956,0.4863159888,0,7,0,
10/22/1922,1922,0,0,RII,RCH,1551.226,1486.483,0.6784942867,26,0,1,
10/22/1922,1922,0,0,CHI,BFF,1633.287,1609.918,0.6244999993,7,0,1,
10/22/1922,1922,0,0,AKR,CBD,1591.194,1590.722,0.5931220972,0,22,0,
10/29/1922,1922,0,0,AKR,OOR,1552.859,1313.459,0.852238541,62,0,1,
10/29/1922,1922,0,0,TOL,LOU,1545.095,1388.471,0.7817289272,39,0,1,
10/29/1922,1922,0,0,ARI,COL,1521.344,1353.711,0.7923490048,37,6,1,
10/29/1922,1922,0,0,MIL,HAM,1348.95,1394.265,0.5282987179,0,0,0.5,
10/29/1922,1922,0,0,RAC,RCH,1430.307,1466.471,0.5414033153,9,0,1,
10/29/1922,1922,0,0,GB,RII,1412.886,1571.238,0.3687978977,0,0,0.5,
10/29/1922,1922,0,0,DAY,BFF,1553.854,1594.904,0.5344123305,0,7,0,
10/29/1922,1922,0,0,CHI,CBD,1648.3,1629.058,0.6189127442,6,7,0,
11/5/1922,1922,0,0,CBD,TOL,1637.979,1559.724,0.695220833,0,0,0.5,
11/5/1922,1922,0,0,ARI,BFF,1534.361,1617.375,0.4740989755,9,7,1,
11/5/1922,1922,0,0,GB,COL,1416.887,1340.694,0.6926999376,3,0,1,
11/5/1922,1922,0,0,MNN,OOR,1456.049,1302.703,0.778492104,13,6,1,
11/5/1922,1922,0,0,CHI,DAY,1639.378,1531.384,0.7302386096,9,0,1,
11/5/1922,1922,0,0,RAC,LOU,1451.153,1373.841,0.6940694101,57,0,1,
11/5/1922,1922,0,0,AKR,HAM,1563.615,1395.128,0.7931566852,22,0,1,
11/11/1922,1922,0,0,RAC,COL,1474.488,1332.688,0.7668191216,34,0,1,
11/12/1922,1922,0,0,GB,MNN,1424.894,1464.43,0.536580167,14,6,1,
11/12/1922,1922,0,0,CBD,BFF,1632.025,1605.724,0.6284494812,3,0,1,
11/12/1922,1922,0,0,CHI,OOR,1650.896,1294.323,0.9188459488,33,6,1,
11/12/1922,1922,0,0,LOU,ECG,1350.506,1387.704,0.5399251132,13,6,1,
11/12/1922,1922,0,0,RII,DAY,1567.237,1519.867,0.6563011052,43,0,1,
11/12/1922,1922,0,0,ARI,AKR,1546.011,1575.341,0.5511536557,7,0,1,
11/19/1922,1922,0,0,MIL,OOR,1348.087,1289.784,0.6703545623,13,0,1,
11/19/1922,1922,0,0,CHI,RII,1655.435,1591.985,0.6768684966,3,0,1,
11/19/1922,1922,0,0,RAC,GB,1489.644,1445.025,0.6527201841,3,3,0.5,
